"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Основной функционал","3","0","Работа с ингредиентами","0"
"0","","0","Восстановление пароля","2","0","Функциональность восстановления пароля","0"
"0","","0","Личный кабинет","1","0","История заказов","0"
"0","","0","Основной функционал","2","0","Навигация","0"
"0","","0","Лента заказов","1","0","Раздел 'В работе'","0"
"0","","0","Личный кабинет","1","0","Навигация в личный кабинет","0"
"0","","0","Личный кабинет","1","0","Выход из аккаунта","0"
"0","","0","Восстановление пароля","1","0","Переход на страницу восстановления пароля","0"
"0","","0","Лента заказов","1","0","Детали заказа","0"
"0","","0","Лента заказов","1","0","Отображение заказов пользователя","0"
"0","","0","Лента заказов","2","0","Счётчики заказов","0"
"0","","0","Основной функционал","1","0","Оформление заказа","0"
