"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2950","Клик на ингредиент открывает всплывающее окно с деталями","tests","Tue Dec 02 15:43:32 ALMT 2025","passed","Tue Dec 02 15:43:35 ALMT 2025","TestIngredients","test_main_functionality","",""
"","1410","Клик по кнопке показать/скрыть пароль делает поле активным","tests","Tue Dec 02 15:46:23 ALMT 2025","passed","Tue Dec 02 15:46:25 ALMT 2025","TestRestorePasswordFunctionality","test_restore_password","",""
"","1760","Переход в раздел 'История заказов'","tests","Tue Dec 02 15:45:50 ALMT 2025","passed","Tue Dec 02 15:45:52 ALMT 2025","TestOrderHistory","test_personal_account","",""
"","2609","Переход по клику на 'Конструктор'","tests","Tue Dec 02 15:43:16 ALMT 2025","passed","Tue Dec 02 15:43:18 ALMT 2025","TestNavigation","test_main_functionality","",""
"","2406","После оформления заказа его номер появляется в разделе 'В работе'","tests","Tue Dec 02 15:45:27 ALMT 2025","passed","Tue Dec 02 15:45:29 ALMT 2025","TestInProgressSection","test_order_feed","",""
"","1427","Переход по клику на 'Личный кабинет'","tests","Tue Dec 02 15:45:39 ALMT 2025","passed","Tue Dec 02 15:45:40 ALMT 2025","TestPersonalAccountNavigation","test_personal_account","",""
"","10153","Всплывающее окно закрывается кликом по крестику","tests","Tue Dec 02 15:43:40 ALMT 2025","passed","Tue Dec 02 15:43:50 ALMT 2025","TestIngredients","test_main_functionality","",""
"","2824","Выход из аккаунта","tests","Tue Dec 02 15:46:02 ALMT 2025","passed","Tue Dec 02 15:46:04 ALMT 2025","TestLogout","test_personal_account","",""
"","4451","Переход по клику на 'Лента заказов'","tests","Tue Dec 02 15:43:23 ALMT 2025","passed","Tue Dec 02 15:43:28 ALMT 2025","TestNavigation","test_main_functionality","",""
"","2205","При добавлении ингредиента в заказ увеличивается каунтер","tests","Tue Dec 02 15:43:55 ALMT 2025","passed","Tue Dec 02 15:43:57 ALMT 2025","TestIngredients","test_main_functionality","",""
"","1527","Ввод почты и клик по кнопке 'Восстановить'","tests","Tue Dec 02 15:46:17 ALMT 2025","passed","Tue Dec 02 15:46:19 ALMT 2025","TestRestorePasswordFunctionality","test_restore_password","",""
"","2475","Переход на страницу восстановления пароля по кнопке 'Восстановить пароль'","tests","Tue Dec 02 15:46:10 ALMT 2025","passed","Tue Dec 02 15:46:12 ALMT 2025","TestRestorePasswordNavigation","test_restore_password","",""
"","7572","Клик на заказ открывает всплывающее окно с деталями","tests","Tue Dec 02 15:44:14 ALMT 2025","passed","Tue Dec 02 15:44:21 ALMT 2025","TestOrderDetails","test_order_feed","",""
"","5568","Заказы пользователя из 'Истории заказов' отображаются на странице 'Лента заказов'","tests","Tue Dec 02 15:44:36 ALMT 2025","passed","Tue Dec 02 15:44:41 ALMT 2025","TestUserOrdersDisplay","test_order_feed","",""
"","4950","При создании нового заказа счётчик 'Выполнено за сегодня' увеличивается","tests","Tue Dec 02 15:45:08 ALMT 2025","passed","Tue Dec 02 15:45:13 ALMT 2025","TestOrderCounters","test_order_feed","",""
"","5299","При создании нового заказа счётчик 'Выполнено за всё время' увеличивается","tests","Tue Dec 02 15:44:51 ALMT 2025","passed","Tue Dec 02 15:44:56 ALMT 2025","TestOrderCounters","test_order_feed","",""
"","1201","Залогиненный пользователь может оформить заказ","tests","Tue Dec 02 15:44:07 ALMT 2025","passed","Tue Dec 02 15:44:08 ALMT 2025","TestOrderCreation","test_main_functionality","",""
